window	Freq	mean_discordant_reads_blacklist
1_107686000_+	2	1
1_107691000_+	2	1
1_107692000_+	1	1
1_107697000_+	1	1
1_10770000_-	1	1
1_107702000_-	1	1
1_107729000_-	3	1
1_107744000_+	1	1
1_107750000_-	1	1
1_107757000_-	2	1
1_107758000_-	1	1
1_107771000_-	1	1
1_107776000_-	1	1
1_107786000_-	1	1
1_107792000_-	2	1
1_107798000_-	1	1
1_107801000_+	1	2
1_107820000_-	1	1
1_107825000_-	1	1
1_107882000_+	2	1
1_107908000_-	1	1
1_107925000_-	1	1
1_107955000_+	1	1
1_107959000_-	2	1
1_108006000_+	2	1
1_108023000_-	2	1
1_108038000_+	2	1
1_108044000_-	1	1
1_108044000_+	1	1
1_108049000_-	1	1
1_108082000_-	1	1
1_108088000_-	1	1
1_108089000_-	2	1
1_108123000_+	1	1
1_108129000_-	1	1
1_108146000_-	2	1
1_108149000_-	1	1
1_108152000_-	1	1
1_108157000_-	2	1
1_108171000_+	1	1
1_108221000_+	2	1
1_10823000_+	3	1
1_108242000_-	2	1
1_108246000_-	2	1
1_108259000_+	1	1
1_108281000_+	2	1
1_108316000_-	2	1
1_108317000_-	1	1
1_108319000_-	2	1
1_108330000_-	1	1
1_10836000_-	2	1
1_108380000_+	1	1
1_108381000_-	1	1
1_108414000_+	1	1
1_108418000_-	2	1
1_108430000_-	1	1
1_108489000_+	1	1
1_10849000_-	2	1
1_108495000_+	2	2
1_10850000_-	2	1
1_108503000_-	1	1
1_108506000_+	1	1
1_10851000_-	2	1
1_108511000_-	3	1
1_108512000_-	2	1
1_108522000_-	2	1
1_108540000_-	1	1
1_108546000_-	2	1
1_108553000_+	2	1
1_108568000_-	1	1
1_108588000_-	1	1
1_108623000_-	1	1
1_108649000_-	2	1
1_108676000_-	1	1
1_108693000_-	1	1
1_108741000_+	2	1
1_108742000_-	1	1
1_10880000_-	2	1
1_10884000_-	2	1
1_10887000_+	2	1
1_108875000_-	2	1
1_108879000_-	1	1
1_108882000_-	2	1
1_108882000_+	1	1
1_10894000_+	1	1
1_10897000_-	1	1
1_10899000_-	1	1
1_109014000_-	2	1
1_109048000_-	1	1
1_109115000_+	1	1
1_109124000_-	1	1
1_109141000_+	1	1
1_109145000_+	2	1
1_109196000_-	1	1
1_109203000_+	1	1
1_109206000_+	1	1
1_109207000_+	1	1
1_10921000_+	1	1
1_109211000_+	2	1
1_10923000_+	1	1
1_109260000_+	2	1
1_10931000_-	2	1
1_109323000_-	1	1
1_109323000_+	1	2
1_109338000_+	1	1
1_109343000_+	1	1
1_109346000_-	1	1
1_109366000_+	7	8
1_109367000_-	1	1
1_109371000_-	6	7.5
1_109372000_-	3	6.33333333333333
1_109400000_+	1	1
1_109406000_+	1	1
1_109460000_-	1	1
1_109466000_+	1	1
1_109483000_+	1	1
1_109487000_-	1	1
1_109491000_-	1	1
1_109518000_-	2	1
1_109529000_+	2	1
1_109540000_-	1	1
1_10955000_-	3	1
1_109568000_-	1	1
1_109581000_+	1	1
1_109589000_-	1	1
1_1096000_-	2	1
1_10961000_+	1	1
1_109642000_-	2	1
1_109652000_-	1	1
1_109658000_+	1	1
1_109661000_-	2	1
1_109689000_-	1	1
1_109692000_+	1	1
1_109698000_+	1	1
1_109699000_+	2	1
1_10971000_+	2	1
1_109713000_+	1	1
1_109762000_-	2	1
1_10978000_+	1	1
1_109815000_+	3	1
1_109825000_-	2	1
1_109842000_+	2	1
1_109854000_+	1	1
1_109861000_+	1	1
1_10988000_+	2	1
1_109887000_+	1	1
1_109892000_-	1	1
1_1099000_-	2	1
1_109902000_-	2	1
1_109924000_-	2	1
1_109946000_-	2	1
1_110008000_-	2	1
1_110026000_+	1	1
1_110039000_-	1	1
1_110078000_-	1	1
1_110085000_-	2	1
1_11009000_-	1	1
1_110090000_-	2	1
1_1101000_+	2	1
1_110107000_+	1	1
1_110110000_-	1	1
1_110124000_+	1	1
1_110135000_+	1	1
1_110139000_-	1	1
1_110141000_-	1	1
1_11015000_+	1	1
1_110167000_+	2	1
1_110169000_+	1	1
1_11017000_-	2	1
1_110176000_+	2	1
1_11018000_-	1	1
1_110180000_-	1	1
1_110183000_-	2	1
1_110203000_-	1	1
1_110205000_+	1	1
1_11021000_+	2	1
1_110211000_-	2	1
1_110213000_+	1	1
1_110256000_+	2	1
1_110260000_+	2	1
1_11029000_-	2	1
1_110302000_-	2	1
1_110330000_-	1	1
1_110338000_+	1	1
1_110361000_+	1	1
1_110431000_+	1	1
1_110450000_-	2	1
1_110453000_-	1	1
1_110457000_-	1	1
1_11046000_-	2	1
1_110464000_-	2	1
1_110465000_-	1	1
1_110465000_+	1	1
1_110526000_-	1	1
1_110527000_+	1	1
1_110555000_-	1	1
1_110557000_-	2	1
1_11056000_-	1	1
1_110573000_+	2	1
1_110581000_+	1	1
1_110582000_-	1	1
1_110637000_+	2	1
1_110656000_-	2	1
1_110659000_+	1	1
1_110668000_-	1	1
1_110672000_+	1	1
1_110673000_+	1	1
1_1107000_-	2	1
1_110703000_+	4	1
1_110732000_-	2	1
1_110739000_-	2	1
1_110762000_+	2	1
1_110789000_-	2	1
1_110792000_-	1	1
1_110804000_+	1	1
1_11082000_-	1	1
1_110835000_-	2	1
1_110840000_+	1	1
1_110861000_+	1	1
1_110877000_-	2	1
1_110889000_+	2	1
1_110890000_+	2	1
1_110897000_-	2	1
1_11090000_-	2	1
1_110903000_-	2	1
1_110913000_-	1	1
1_110915000_-	1	1
1_110925000_-	1	1
1_110942000_+	1	1
1_110962000_+	1	1
1_110967000_-	1	1
1_110981000_-	1	1
1_111005000_-	1	1
1_111005000_+	1	1
1_111006000_-	1	1
1_111032000_+	1	1
1_111035000_+	1	1
1_111051000_+	1	1
1_111082000_+	1	1
1_111083000_-	2	1
1_111083000_+	1	1
1_111084000_+	2	1
1_111097000_-	1	1
1_11112000_-	1	1
1_111123000_+	1	1
1_111125000_-	1	1
1_111125000_+	1	1
1_111127000_+	1	1
1_111143000_+	1	1
1_111150000_-	2	1
1_111193000_+	1	1
1_111245000_+	1	2
1_111248000_+	2	1
1_111253000_+	1	1
1_111257000_+	1	2
1_111262000_+	2	1
1_111277000_+	2	1
1_111286000_-	1	1
1_111289000_-	2	1
1_111308000_+	1	1
1_11131000_-	2	1
1_111315000_-	1	1
1_111317000_-	1	1
1_111320000_-	1	1
1_111323000_+	2	1
1_111342000_-	2	1
1_111355000_+	1	1
1_111356000_+	1	1
1_111410000_+	2	1
1_111425000_-	2	1
1_111441000_+	2	1
1_111444000_-	2	2
1_111445000_-	1	1
1_111450000_+	2	1
1_111459000_+	1	1
1_111464000_-	1	1
1_111473000_+	1	1
1_111474000_+	1	1
1_111478000_+	1	1
1_111480000_-	2	1
1_111484000_-	1	1
1_111491000_-	2	1
1_111511000_+	1	1
1_111518000_-	1	1
1_111527000_-	2	1
1_111531000_-	2	1
1_111547000_-	2	1
1_111570000_+	1	1
1_111573000_-	2	1
1_111580000_+	1	1
1_111594000_-	1	1
1_11161000_+	1	1
1_111639000_+	1	1
1_111652000_+	1	1
1_111662000_-	2	1
1_11167000_+	2	1
1_111678000_+	2	1
1_111695000_+	2	1
1_111703000_-	1	1
1_111714000_-	1	1
1_111733000_-	2	1
1_111738000_-	1	1
1_111749000_+	2	1
1_111753000_-	1	1
1_111758000_+	1	1
1_111778000_-	2	1
1_111781000_-	1	1
1_111786000_-	2	1
1_111795000_-	1	1
1_111802000_+	1	1
1_111826000_+	2	1
1_111832000_-	1	1
1_111853000_+	2	1
1_111854000_-	2	1
1_111864000_-	2	1
1_111878000_-	2	1
1_111886000_+	1	1
1_11190000_-	1	1
1_111901000_+	1	1
1_111912000_-	2	1
1_111926000_-	1	1
1_111955000_-	1	1
1_111960000_+	2	1
1_111969000_-	1	1
1_11197000_-	2	1
1_111973000_+	2	1
1_11198000_-	2	1
1_11198000_+	2	1
1_111996000_+	1	1
1_112019000_+	1	1
1_112026000_+	1	1
1_112031000_+	1	1
1_11206000_-	1	1
1_112069000_+	1	1
1_112077000_+	2	1
1_112093000_-	2	1
1_112094000_+	1	1
1_112103000_+	2	1
1_112111000_-	1	1
1_112115000_+	2	1
1_112116000_-	2	1
1_112120000_+	1	1
1_112122000_-	2	1
1_112126000_+	2	1
1_112129000_-	3	1
1_112140000_-	1	1
1_112146000_+	2	1
1_112156000_+	2	1
1_112158000_+	1	1
1_112182000_+	1	1
1_112194000_-	1	1
1_112196000_-	1	1
1_112225000_+	1	1
1_112285000_-	2	1
1_112286000_-	1	1
1_11230000_+	1	1
1_112309000_-	2	1
1_112317000_-	2	1
1_112333000_+	1	1
1_112336000_+	1	1
1_112338000_-	2	1
1_112338000_+	1	1
1_112343000_-	1	1
1_112344000_+	2	1
1_11235000_-	2	1
1_112353000_+	1	1
1_112359000_+	2	1
1_112369000_-	1	1
1_112381000_+	2	1
1_112417000_-	1	1
1_112418000_-	2	1
1_112418000_+	2	1
1_112439000_-	1	1
1_112446000_-	2	1
1_112473000_-	1	1
1_112483000_+	2	1
1_11249000_-	1	1
1_112524000_+	1	1
1_112545000_-	1	2
1_112555000_+	2	1
1_112583000_+	2	1
1_112628000_-	2	1
1_112640000_+	1	1
1_112643000_-	2	1
1_112643000_+	1	1
1_112658000_-	2	1
1_112663000_+	2	1
1_112674000_-	1	1
1_112676000_-	2	1
1_112691000_-	1	1
1_112705000_-	1	1
1_11271000_+	1	1
1_112730000_+	2	1
1_112731000_-	1	1
1_112755000_+	1	1
1_112764000_+	2	1
1_112792000_+	1	1
1_112805000_+	2	1
1_112850000_-	1	1
1_112852000_-	1	1
1_112852000_+	1	1
1_112859000_-	2	1
1_112874000_-	2	1
1_112878000_-	2	1
1_112909000_+	1	1
1_112918000_+	1	1
1_112930000_+	2	1
1_112957000_+	2	1
1_112958000_+	1	1
1_112960000_-	2	1
1_112964000_-	2	1
1_113028000_+	1	1
1_113053000_-	2	1
1_113060000_-	1	1
1_113074000_-	1	1
1_1131000_-	1	1
1_11311000_-	2	1
1_113111000_-	1	1
1_113117000_-	2	1
1_113147000_-	1	1
1_113173000_-	1	1
1_113176000_+	1	1
1_11318000_-	1	1
1_113181000_-	1	1
1_113185000_+	2	1
1_113187000_+	1	1
1_11321000_+	1	1
1_113233000_+	1	1
1_113244000_+	2	1
1_113272000_+	2	1
1_113277000_-	1	1
1_113285000_+	1	1
1_113291000_+	2	1
1_113308000_-	2	1
1_113313000_+	2	1
1_11332000_+	2	1
1_113348000_+	1	1
1_113369000_+	2	1
1_113391000_-	1	1
1_113420000_-	1	1
1_113420000_+	1	1
1_113442000_-	1	1
1_113481000_+	3	1
1_113499000_-	1	1
1_113501000_+	1	1
1_113502000_-	1	1
1_113503000_-	2	1
1_113517000_-	1	1
1_113525000_+	1	1
1_113531000_-	1	1
1_113541000_+	1	1
1_113552000_+	1	1
1_113557000_-	2	1
1_113564000_+	1	1
1_113615000_+	3	1
1_11364000_+	1	1
1_113643000_+	1	1
1_113658000_+	2	1
1_113686000_+	1	1
1_11369000_+	2	1
1_113700000_-	2	1
1_113722000_+	1	1
1_113733000_+	2	1
1_113806000_-	1	1
1_113808000_+	1	1
1_113810000_+	2	1
1_113843000_-	2	1
1_113856000_+	2	1
1_113895000_+	2	1
1_113908000_+	2	1
1_113936000_+	1	1
1_113950000_-	1	1
1_11397000_-	1	1
1_113982000_-	1	1
1_113990000_+	1	1
1_11407000_-	1	1
1_114084000_+	1	1
1_114085000_+	1	1
1_114097000_-	1	1
1_114147000_-	2	1
1_114155000_+	2	1
1_114156000_+	1	1
1_114161000_-	2	1
1_114182000_+	1	1
1_114193000_+	1	1
1_1142000_-	2	1
1_11420000_+	2	1
1_11421000_+	1	1
1_114218000_+	1	1
1_114239000_-	2	1
1_11425000_-	1	1
1_114257000_+	2	1
1_114268000_+	2	1
1_114278000_+	1	1
1_114306000_+	1	1
1_114318000_+	2	1
1_114333000_-	1	1
1_114348000_+	1	1
1_114358000_+	1	1
1_114365000_+	1	1
1_11438000_+	1	1
1_114384000_-	2	1
1_114405000_-	1	1
1_114456000_-	1	1
1_114458000_-	2	1
1_114463000_-	2	1
1_114481000_-	1	1
1_114482000_-	2	1
1_114490000_-	1	1
1_114495000_+	2	1
1_114520000_+	1	1
1_114526000_-	1	1
1_114529000_-	1	1
1_11453000_+	1	1
1_114530000_+	1	1
1_114552000_+	1	1
1_114562000_+	1	1
1_114579000_+	1	1
1_114590000_-	2	1
1_114603000_-	1	1
1_11462000_-	1	2
1_114622000_-	1	1
1_114635000_+	1	1
1_114652000_-	1	1
1_114661000_-	1	1
1_114686000_-	1	1
1_114690000_+	1	1
1_114692000_+	1	1
1_114693000_+	2	1
1_114716000_-	1	1
1_11474000_-	1	1
1_114741000_+	1	1
1_114747000_-	1	1
1_114748000_-	2	1
1_114756000_+	1	1
1_114791000_+	2	1
1_114797000_+	2	1
1_1148000_-	2	1
1_114802000_-	2	1
1_114811000_-	2	1
1_11482000_-	1	1
1_114826000_-	2	1
1_114841000_+	1	1
1_114861000_-	1	1
1_114887000_+	2	1
1_114898000_-	1	1
1_114940000_+	1	1
1_114947000_-	1	1
1_114974000_-	1	1
1_114978000_+	2	1
1_11499000_+	4	3.5
1_114991000_+	1	1
1_11500000_-	7	2.85714285714286
1_11500000_+	1	3
1_115012000_-	1	1
1_115020000_-	1	1
1_115024000_-	2	1
1_11503000_-	1	1
1_115051000_-	2	1
1_115054000_-	1	1
1_115067000_-	2	1
1_115085000_-	2	1
1_11509000_-	2	1
1_115095000_-	2	1
1_115129000_-	2	1
1_115132000_-	1	1
1_115144000_-	2	1
1_115165000_+	1	1
1_115166000_+	1	1
1_115171000_-	1	1
1_115184000_+	2	1
1_115213000_+	1	1
1_115223000_-	2	1
1_115225000_+	2	1
1_115255000_-	1	1
1_11528000_+	1	1
1_115299000_+	1	1
1_115326000_-	2	1
1_115342000_-	1	1
1_115342000_+	1	1
1_11535000_+	1	1
1_11538000_-	1	1
1_11539000_-	2	1
1_115440000_-	1	1
1_115466000_+	1	1
1_115471000_+	1	2
1_115501000_+	2	1
1_115521000_+	1	1
1_115522000_+	1	1
1_115545000_+	1	1
1_115586000_+	1	1
1_115612000_+	2	1
1_115626000_+	2	1
1_11563000_+	2	1
1_115630000_+	1	1
1_11564000_-	2	1
1_115648000_+	2	1
1_115649000_-	1	1
1_115653000_-	1	1
1_115654000_-	1	1
1_115655000_-	2	1
1_115669000_-	3	1
1_115671000_+	2	1
1_115697000_-	1	1
1_115699000_+	2	1
1_115702000_+	1	2
1_115708000_-	1	1
1_115737000_+	1	1
1_11574000_-	1	1
1_11575000_+	1	1
1_115785000_+	1	1
1_115796000_+	2	1
1_11581000_+	2	1
1_115821000_-	1	1
1_115829000_-	2	1
1_11583000_+	1	1
1_115833000_-	2	1
1_115863000_+	1	1
1_115882000_+	2	1
1_11589000_-	1	1
1_115921000_-	1	1
1_115956000_+	1	1
1_115962000_-	1	1
1_115988000_+	1	1
1_115996000_-	1	1
1_116011000_+	1	1
1_116014000_+	2	1
1_116016000_-	1	1
1_11603000_+	2	1
1_11605000_-	1	1
1_116056000_+	1	1
1_116062000_-	1	1
1_116066000_+	1	1
1_116068000_+	1	1
1_116100000_+	2	2
1_116105000_-	1	1
1_116105000_+	1	1
1_116122000_-	1	1
1_116132000_+	2	1
1_116154000_-	1	1
1_116172000_-	1	1
1_116173000_+	2	1
1_116191000_+	1	1
1_116207000_+	1	1
1_116209000_-	1	1
1_116225000_-	1	1
1_116236000_-	2	1
1_116245000_+	2	1
1_116248000_-	2	1
1_116259000_+	1	1
1_116264000_-	1	1
1_116284000_-	1	1
1_116323000_+	1	1
1_116324000_-	1	1
1_116325000_+	1	1
1_116345000_+	2	1
1_116347000_-	2	1
1_116355000_+	2	1
